-69.177941,-20.130951,-69.350289,-19.983245
-68.520822,-21.076386,-68.896417,-20.866085
-68.604592,-22.090307,-68.892984,-21.858526
-68.822946,-22.385967,-68.837837,-22.373626
-70.15581,-22.409258,-70.229968,-22.354655
-69.791888,-22.687018,-69.964923,-22.424492
-69.153308,-22.928807,-69.496631,-22.678149
-70.133838,-22.801004,-70.286273,-22.626187
-70.212115,-23.369495,-70.317859,-23.252204
-69.988269,-23.477865,-70.129718,-23.370756
-69.440326,-23.503055,-69.594134,-23.358149
-68.742694,-23.510611,-68.88689,-23.34428
-69.552936,-24.456657,-69.6216,-24.390386
-70.354938,-25.026637,-70.435962,-24.919576
-69.471912,-25.143551,-69.599628,-25.051522
-70.565051,-25.688075,-70.611743,-25.641038
-69.802875,-25.889626,-69.978656,-25.741278
-69.507617,-26.318782,-69.682025,-26.186997
-70.254687,-26.626106,-70.390643,-26.470088
-69.355182,-26.535224,-69.462298,-26.457794
-69.2,-26.866472,-69.307117,-26.729182
-70.291766,-27.202861,-70.418109,-27.048859
-70.187396,-27.599106,-70.361804,-27.395674
-69.232959,-27.588152,-69.344195,-27.511445
-69.496631,-28.227702,-69.679278,-28.095734
-70.747699,-28.34984,-70.865802,-28.237382
-70.780658,-28.651555,-70.843829,-28.604544
-70.953693,-28.844199,-71.022357,-28.752737
-71.200885,-29.766291,-71.268176,-29.684003
-69.926471,-29.837791,-70.039081,-29.697126
-71.347827,-30.034153,-71.376666,-30.004426
-71.042956,-30.309592,-71.155566,-30.16722
-71.203631,-30.879368,-71.254443,-30.835749
-70.898761,-31.754568,-71.038837,-31.649413
-70.453815,-31.776752,-70.540332,-31.665778
-71.077289,-32.69441,-71.194018,-32.606533
-70.838336,-32.601905,-70.908374,-32.553302
-70.194263,-33.248571,-70.394763,-33.053111
-71.007251,-34.070413,-71.070422,-34.014654
-70.319232,-34.122725,-70.536212,-34.05221
-70.630969,-34.322576,-70.733966,-34.221574
-71.883411,-45.079926,-72.011127,-44.981902
-71.949329,-46.587753,-72.045459,-46.500855
-71.022357,-53.03841,-71.225604,-52.926792
-71.593646,-52.900706,-71.756381,-52.809075

